Basin_ID,peak,recess_days,det_coef,gw_rec_const,alpha_value,peak_range,recess_range,Basin,region
1,1,62,0.9518,-0.0201,0.9801,660:835,45:106,Navaluenga,IMP
1,2,90,0.9668,-0.0321,0.9684,1100:1330,111:200,Navaluenga,IMP
1,3,70,0.8052,-0.0197,0.9805,2975:3120,63:132,Navaluenga,IMP
2,1,20,0.9914,-0.0359,0.9647,1110:1370,198:217,Matallana,IMP
2,2,61,0.9828,-0.0545,0.9485,1910:2130,150:210,Matallana,IMP
2,3,45,0.9917,-0.045,0.9559,2620:2890,210:254,Matallana,IMP
3,1,20,0.9711,-0.042,0.9589,1140:1260,54:73,Villarejo de Montalban,IMP
3,2,21,0.9611,-0.0812,0.922,2980:3050,50:70,Villarejo de Montalban,IMP
3,3,39,0.9789,-0.0324,0.9681,1450:1585,58:96,Villarejo de Montalban,IMP
4,1,201,0.9406,-0.0051,0.9949,1050:1450,200:400,Peralejo de las Truchas,CRB
4,2,188,0.9125,-0.0063,0.9937,1440:1750,93:280,Peralejo de las Truchas,CRB
4,3,101,0.9786,-0.0083,0.9918,280:650,256:356,Peralejo de las Truchas,CRB
5,1,126,0.9641,-0.0084,0.9916,980:1500,225:350,Priego Escabas,CRB
5,2,136,0.8374,-0.0046,0.9954,2160:2550,192:327,Priego Escabas,CRB
5,3,159,0.8506,-0.0063,0.9937,2970:3280,82:240,Priego Escabas,CRB
6,1,96,0.9413,-0.011,0.9891,800:1200,175:270,Santa Maria del Val,CRB
6,2,161,0.9644,-0.0117,0.9884,1170:1520,90:250,Santa Maria del Val,CRB
6,3,126,0.9577,-0.0171,0.9831,2700:3000,75:200,Santa Maria del Val,CRB
7,1,65,0.9426,-0.0228,0.9774,1150:1370,80:144,Jabalera,DTH
7,2,41,0.9671,-0.0499,0.9513,2220:2400,108:148,Jabalera,DTH
7,3,53,0.8966,-0.0327,0.9678,2960:3160,128:180,Jabalera,DTH
8,1,73,0.8991,-0.0172,0.9829,30:260,158:230,Huete,DTH
8,2,61,0.9052,-0.0227,0.9776,1080:1330,195:255,Huete,DTH
8,3,61,0.8612,-0.0276,0.9728,2960:3170,130:190,Huete,DTH
9,1,74,0.8786,-0.0281,0.9723,1430:1620,97:170,Torote,DTH
9,2,36,0.8526,-0.0405,0.9603,1130:1290,75:110,Torote,DTH
9,3,30,0.935,-0.0479,0.9533,2950:3100,82:111,Torote,DTH
10,1,29,0.854,-0.0348,0.9658,350:540,96:124,La Pueblanueva,DTH
10,2,33,0.9408,-0.0413,0.9596,1450:1590,67:99,La Pueblanueva,DTH
10,3,31,0.9887,-0.0831,0.9202,2980:3060,52:82,La Pueblanueva,DTH
11,1,103,0.8605,-0.0079,0.9921,1100:1400,158:260,Ventosa,DTL
11,2,89,0.9322,-0.0071,0.9929,1470:1670,59:147,Ventosa,DTL
11,3,45,0.9158,-0.0097,0.9903,400:670,126:170,Ventosa,DTL
12,1,60,0.9117,-0.0342,0.9663,1140:1295,87:146,La Peraleja,DTL
12,2,61,0.9234,-0.0485,0.9526,1470:1630,90:150,La Peraleja,DTL
12,3,25,0.8973,-0.081,0.9222,2990:3060,43:67,La Peraleja,DTL
13,1,139,0.915,-0.0093,0.9907,1310:1700,253:391,Villasequilla de Yepes,DTL
13,2,86,0.8486,-0.0132,0.9869,2128:2520,225:310,Villasequilla de Yepes,DTL
13,3,77,0.8655,-0.014,0.9861,2975:3172,118:194,Villasequilla de Yepes,DTL
14,1,41,0.9836,-0.0459,0.9551,270:400,60:100,Valverde de los Arroyos,MIX
14,2,38,0.987,-0.0753,0.9274,1630:1900,163:200,Valverde de los Arroyos,MIX
14,3,55,0.9627,-0.0472,0.9539,470:770,239:293,Valverde de los Arroyos,MIX
15,1,19,0.9508,-0.0617,0.9401,1135:1250,60:78,Malpica,MIX
15,2,55,0.948,-0.0343,0.9663,2970:3100,66:120,Malpica,MIX
15,3,25,0.9705,-0.1019,0.9032,2180:2380,154:178,Malpica,MIX
16,1,75,0.9333,-0.0141,0.986,1450:1630,91:165,Taravillas,MIX
16,2,109,0.9575,-0.0081,0.9919,2970:3287,127:235,Taravillas,MIX
16,3,71,0.8538,-0.012,0.988,1060:1500,210:280,Taravillas,MIX
17,1,103,0.9285,-0.0059,0.9941,224:700,309:411,Romanones,MIX
17,2,122,0.8779,-0.0099,0.9901,637:1000,229:350,Romanones,MIX
17,3,69,0.9419,-0.008,0.9921,2970:3200,122:190,Romanones,MIX
18,1,131,0.953,-0.0145,0.9856,1100:1400,100:230,Priego Trabraque,MIX
18,2,72,0.8021,-0.012,0.9881,1460:1630,69:140,Priego Trabraque,MIX
18,3,67,0.9224,-0.0167,0.9834,30:260,159:225,Priego Trabraque,MIX
19,1,37,0.8518,-0.0127,0.9874,1150:1370,124:160,Bujalaro,MIX
19,2,94,0.9569,-0.0117,0.9884,2210:2500,146:239,Bujalaro,MIX
19,3,72,0.9624,-0.011,0.9891,2970:3200,129:200,Bujalaro,MIX
